name,year,rank,value,lastValue
eleme,911,1,154,154
eleme,912,1,4891,5045
eleme,913,1,3242,8287
eleme,914,1,4625,12912
eleme,915,1,4065,16977
eleme,916,1,3429,20406
eleme,917,1,3425,23831
eleme,918,1,3116,26947
eleme,919,1,3228,30175
eleme,920,1,2279,32454
eleme,921,1,1614,34068
eleme,922,1,1892,35960
eleme,923,1,2616,38576
eleme,924,1,2899,41475
eleme,925,1,2747,44222
eleme,926,1,6011,50233
eleme,927,1,5185,55418
eleme,928,1,3060,58478
eleme,929,1,2159,60637
eleme,930,1,769,61406
zhixing,95,11,0,0
zhixing,96,11,0,0
zhixing,97,11,0,0
zhixing,98,11,0,0
zhixing,99,11,0,0
zhixing,910,11,0,0
zhixing,911,11,54,54
zhixing,912,11,2012,2066
zhixing,913,11,1379,3445
zhixing,914,11,1611,5056
zhixing,915,11,1554,6610
zhixing,916,11,1851,8461
zhixing,917,11,2076,10537
zhixing,918,11,1933,12470
zhixing,919,11,1794,14264
zhixing,920,11,1223,15487
zhixing,921,11,844,16331
zhixing,922,11,1048,17379
zhixing,923,11,1350,18729
zhixing,924,11,1554,20283
zhixing,925,11,1478,21761
zhixing,926,11,1731,23492
zhixing,927,11,1396,24888
zhixing,928,11,789,25677
zhixing,929,11,521,26198
zhixing,930,11,111,26309
JDRead,95,12,0,0
JDRead,96,12,0,0
JDRead,97,12,0,0
JDRead,98,12,0,0
JDRead,99,12,0,0
JDRead,910,12,0,0
JDRead,911,12,0,0
JDRead,912,12,0,0
JDRead,913,12,0,0
JDRead,914,12,0,0
JDRead,915,12,0,0
JDRead,916,12,431,431
JDRead,917,12,723,1154
JDRead,918,12,679,1833
JDRead,919,12,569,2402
JDRead,920,12,323,2725
JDRead,921,12,240,2965
JDRead,922,12,322,3287
JDRead,923,12,373,3660
JDRead,924,12,310,3970
JDRead,925,12,374,4344
JDRead,926,12,593,4937
JDRead,927,12,0,0
JDRead,928,12,0,0
JDRead,929,12,62,62
JDRead,930,12,121,183
lxjgirl,95,15,0,0
lxjgirl,96,15,0,0
lxjgirl,97,15,0,0
lxjgirl,98,15,0,0
lxjgirl,99,15,0,0
lxjgirl,910,15,0,0
lxjgirl,911,15,0,0
lxjgirl,912,15,0,0
lxjgirl,913,15,0,0
lxjgirl,914,15,0,0
lxjgirl,915,15,0,0
lxjgirl,916,15,1091,1091
lxjgirl,917,15,2221,3312
lxjgirl,918,15,1853,5165
lxjgirl,919,15,1509,6674
lxjgirl,920,15,1190,7864
lxjgirl,921,15,812,8676
lxjgirl,922,15,968,9644
lxjgirl,923,15,1145,10789
lxjgirl,924,15,1348,12137
lxjgirl,925,15,1230,13367
lxjgirl,926,15,1047,14414
lxjgirl,927,15,901,15315
lxjgirl,928,15,492,15807
lxjgirl,929,15,429,16236
lxjgirl,930,15,199,16435
lxjboy,95,16,0,0
lxjboy,96,16,0,0
lxjboy,97,16,0,0
lxjboy,98,16,0,0
lxjboy,99,16,0,0
lxjboy,910,16,0,0
lxjboy,911,16,0,0
lxjboy,912,16,0,0
lxjboy,913,16,0,0
lxjboy,914,16,0,0
lxjboy,915,16,0,0
lxjboy,916,16,1092,1092
lxjboy,917,16,2154,3246
lxjboy,918,16,1737,4983
lxjboy,919,16,1514,6497
lxjboy,920,16,1132,7629
lxjboy,921,16,723,8352
lxjboy,922,16,929,9281
lxjboy,923,16,1290,10571
lxjboy,924,16,1355,11926
lxjboy,925,16,1255,13181
lxjboy,926,16,831,14012
lxjboy,927,16,640,14652
lxjboy,928,16,425,15077
lxjboy,929,16,302,15379
lxjboy,930,16,157,15536
CatCar,95,17,0,0
CatCar,96,17,0,0
CatCar,97,17,0,0
CatCar,98,17,0,0
CatCar,99,17,0,0
CatCar,910,17,0,0
CatCar,911,17,0,0
CatCar,912,17,0,0
CatCar,913,17,0,0
CatCar,914,17,0,0
CatCar,915,17,0,0
CatCar,916,17,0,0
CatCar,917,17,0,0
CatCar,918,17,350,350
CatCar,919,17,284,634
CatCar,920,17,143,777
CatCar,921,17,98,875
CatCar,922,17,102,977
CatCar,923,17,138,1115
CatCar,924,17,163,1278
CatCar,925,17,144,1422
CatCar,926,17,665,2087
CatCar,927,17,613,2700
CatCar,928,17,367,3067
CatCar,929,17,266,3333
CatCar,930,17,70,3403
meituan,95,3,0,0
meituan,96,3,0,0
meituan,97,3,0,0
meituan,98,3,0,0
meituan,99,3,0,0
meituan,910,3,0,0
meituan,911,3,0,0
meituan,912,3,0,0
meituan,913,3,0,0
meituan,914,3,0,0
meituan,915,3,0,0
meituan,916,3,0,0
meituan,917,3,0,0
meituan,918,3,0,0
meituan,919,3,395,395
meituan,920,3,543,938
meituan,921,3,378,1316
meituan,922,3,441,1757
meituan,923,3,592,2349
meituan,924,3,663,3012
meituan,925,3,657,3669
meituan,926,3,2188,5857
meituan,927,3,1830,7687
meituan,928,3,1061,8748
meituan,929,3,1023,9771
meituan,930,3,748,10519
